word,frequency,start_date,end_date,rank
overreach,88,01/12/2020,09/12/2020,20
lockdown,300,11/12/2020,19/12/2020,1
nation,210,11/12/2020,19/12/2020,2
hope,191,11/12/2020,19/12/2020,3
avoid,178,11/12/2020,19/12/2020,4
peopl,148,11/12/2020,19/12/2020,5
christma,119,11/12/2020,19/12/2020,6
new,117,11/12/2020,19/12/2020,7
time,108,11/12/2020,19/12/2020,8
rate,101,11/12/2020,19/12/2020,9
restrict,99,11/12/2020,19/12/2020,10
rule,98,11/12/2020,19/12/2020,11
know,96,11/12/2020,19/12/2020,12
govern,92,11/12/2020,19/12/2020,13
mani,89,11/12/2020,19/12/2020,14
onli,87,11/12/2020,19/12/2020,15
amp,76,11/12/2020,19/12/2020,16
dystopian,69,11/12/2020,19/12/2020,17
worri,69,11/12/2020,19/12/2020,18
think,66,11/12/2020,19/12/2020,19
brexit,65,11/12/2020,19/12/2020,20
restrict,206,21/12/2020,29/12/2020,1
peopl,182,21/12/2020,29/12/2020,2
govern,173,21/12/2020,29/12/2020,3
new,169,21/12/2020,29/12/2020,4
onli,157,21/12/2020,29/12/2020,5
mani,155,21/12/2020,29/12/2020,6
school,149,21/12/2020,29/12/2020,7
countri,135,21/12/2020,29/12/2020,8
dystopian,125,21/12/2020,29/12/2020,9
rate,123,21/12/2020,29/12/2020,10
mps,122,21/12/2020,29/12/2020,11
worri,119,21/12/2020,29/12/2020,12
mp,116,21/12/2020,29/12/2020,13
far,113,21/12/2020,29/12/2020,14
amp,111,21/12/2020,29/12/2020,15
recoveri,109,21/12/2020,29/12/2020,16
genuin,109,21/12/2020,29/12/2020,17
overreach,108,21/12/2020,29/12/2020,18
dictat,108,21/12/2020,29/12/2020,19
interact,108,21/12/2020,29/12/2020,20
