full_month,full_sentiment,full_views,rank
Jan,98.1632,20889,-1
Feb,-1.2124,3597,-1
Mar,-147.3608,41108,-1
Apr,-70.7697,57724,-1
May,-375.7056,28818,-1
Jun,-392.6159,44801,-1
Jul,-197.7465,52353,-1
Aug,-381.165,67856,-1
Sep,-253.2408,33410,-1
Oct,-291.9693,41613,-1
Nov,-403.4253,57683,-1
Dec,-318.8575,41277,-1
