,word,frequency,start_date,end_date
125,EDM 13,1,2020-01-01,2020-01-09
126,the Dept for Int Development,1,2020-01-01,2020-01-09
127,Via Independent httpstcooTspHGVt7H They,1,2020-01-01,2020-01-09
128,LNP,1,2020-01-01,2020-01-09
129,Truth,1,2020-01-01,2020-01-09
130,YouTube,1,2020-01-01,2020-01-09
131,Southern Cameroons,1,2020-01-01,2020-01-09
132,AFP,1,2020-01-01,2020-01-09
133,ReneTrevor,1,2020-01-01,2020-01-09
134,Labour TV Channel This,1,2020-01-01,2020-01-09
135,Ursula von der,1,2020-01-01,2020-01-09
136,BorisJonhson,1,2020-01-01,2020-01-09
137,Labour Party For the Many Not the Jews,1,2020-01-01,2020-01-09
138,DARE,1,2020-01-01,2020-01-09
139,Sorry Femi,1,2020-01-01,2020-01-09
140,Raab,1,2020-01-01,2020-01-09
141,Iranian Press TV Can,1,2020-01-01,2020-01-09
142,CAA,1,2020-01-01,2020-01-09
143,SAW,1,2020-01-01,2020-01-09
144,Hungarys Orban,1,2020-01-01,2020-01-09
145,NewsVideo,1,2020-01-01,2020-01-09
146,Trump httpstcozfF3KtTdQ9,1,2020-01-01,2020-01-09
147,BuyBritish,1,2020-01-01,2020-01-09
148,Iran LBC httpstcoSoN0CsO3ay,1,2020-01-01,2020-01-09
149,Nicola,1,2020-01-01,2020-01-09
150,the Royal Family,1,2020-01-01,2020-01-09
151,EDM,1,2020-01-01,2020-01-09
152,MEP,1,2020-01-01,2020-01-09
153,Macron httpstcoNpo0YCdkkW,1,2020-01-01,2020-01-09
154,Iranian Press TV BOOM RT Corbyn,1,2020-01-01,2020-01-09
155,CarolineLucas Democracy,1,2020-01-01,2020-01-09
156,Japans Justice,1,2020-01-01,2020-01-09
157,BrexitBritain BrexitJohnson Excellent,1,2020-01-01,2020-01-09
158,Animal Rescue Craft Guild,1,2020-01-01,2020-01-09
159,Scots,1,2020-01-01,2020-01-09
160,Onwards,1,2020-01-01,2020-01-09
161,Pro Remain,1,2020-01-01,2020-01-09
162,Ursula von der Leyen,1,2020-01-01,2020-01-09
163,RussianReport,1,2020-01-01,2020-01-09
164,CIA,1,2020-01-01,2020-01-09
165,Brexit Boris Johnsons Government,1,2020-01-01,2020-01-09
166,the Duke and Duchess of Sussex,1,2020-01-01,2020-01-09
167,BorisJohnsons,1,2020-01-01,2020-01-09
168,InterimMeasures,1,2020-01-01,2020-01-09
