,date,deaths,standardised_neg_deaths,full_month,full_death
117,03/07/2020,0,-0.494293685,Jul,0
118,02/07/2020,0,-0.494293685,Jul,0
119,01/07/2020,0,-0.494293685,Jul,0
120,19/07/2020,0,-0.494293685,Jul,0
121,18/07/2020,0,-0.494293685,Jul,0
122,17/07/2020,0,-0.494293685,Jul,0
123,16/07/2020,0,-0.494293685,Jul,0
124,15/07/2020,0,-0.494293685,Jul,0
125,14/07/2020,0,-0.494293685,Jul,0
126,13/07/2020,0,-0.494293685,Jul,0
127,12/07/2020,0,-0.494293685,Jul,0
128,11/07/2020,0,-0.494293685,Jul,0
129,28/07/2020,0,-0.494293685,Jul,0
130,27/07/2020,0,-0.494293685,Jul,0
131,26/07/2020,0,-0.494293685,Jul,0
132,25/07/2020,0,-0.494293685,Jul,0
133,24/07/2020,0,-0.494293685,Jul,0
134,23/07/2020,0,-0.494293685,Jul,0
135,22/07/2020,0,-0.494293685,Jul,0
136,21/07/2020,0,-0.494293685,Jul,0
137,09/08/2020,0,-0.494293685,Aug,0
138,08/08/2020,0,-0.494293685,Aug,0
139,07/08/2020,0,-0.494293685,Aug,0
140,06/08/2020,0,-0.494293685,Aug,0
141,05/08/2020,0,-0.494293685,Aug,0
142,04/08/2020,0,-0.494293685,Aug,0
143,03/08/2020,0,-0.494293685,Aug,0
144,02/08/2020,0,-0.494293685,Aug,0
145,01/08/2020,0,-0.494293685,Aug,0
146,19/08/2020,0,-0.494293685,Aug,0
147,18/08/2020,0,-0.494293685,Aug,0
148,17/08/2020,0,-0.494293685,Aug,0
149,16/08/2020,0,-0.494293685,Aug,0
150,15/08/2020,0,-0.494293685,Aug,0
151,14/08/2020,0,-0.494293685,Aug,0
152,13/08/2020,0,-0.494293685,Aug,0
153,12/08/2020,0,-0.494293685,Aug,0
154,28/08/2020,0,-0.494293685,Aug,0
155,27/08/2020,0,-0.494293685,Aug,0
156,26/08/2020,0,-0.494293685,Aug,0
157,25/08/2020,0,-0.494293685,Aug,0
158,24/08/2020,0,-0.494293685,Aug,0
159,23/08/2020,0,-0.494293685,Aug,0
160,22/08/2020,0,-0.494293685,Aug,0
161,21/08/2020,0,-0.494293685,Aug,0
162,08/09/2020,0,-0.494293685,Sep,3
163,07/09/2020,0,-0.494293685,Sep,3
164,06/09/2020,0,-0.494293685,Sep,3
165,05/09/2020,0,-0.494293685,Sep,3
166,04/09/2020,2,-1.508749683,Sep,3
167,03/09/2020,0,-0.494293685,Sep,3
168,02/09/2020,0,-0.494293685,Sep,3
169,01/09/2020,0,-0.494293685,Sep,3
170,19/09/2020,0,-0.494293685,Sep,3
171,18/09/2020,0,-0.494293685,Sep,3
172,17/09/2020,0,-0.494293685,Sep,3
173,16/09/2020,0,-0.494293685,Sep,3
174,15/09/2020,1,-1.001521684,Sep,3
175,14/09/2020,0,-0.494293685,Sep,3
176,13/09/2020,0,-0.494293685,Sep,3
177,12/09/2020,0,-0.494293685,Sep,3
178,11/09/2020,0,-0.494293685,Sep,3
179,28/09/2020,0,-0.494293685,Sep,3
180,27/09/2020,0,-0.494293685,Sep,3
181,26/09/2020,0,-0.494293685,Sep,3
182,25/09/2020,0,-0.494293685,Sep,3
183,24/09/2020,0,-0.494293685,Sep,3
184,23/09/2020,0,-0.494293685,Sep,3
185,22/09/2020,0,-0.494293685,Sep,3
186,21/09/2020,0,-0.494293685,Sep,3
187,09/10/2020,0,-0.494293685,Oct,0
188,08/10/2020,0,-0.494293685,Oct,0
189,07/10/2020,0,-0.494293685,Oct,0
190,06/10/2020,0,-0.494293685,Oct,0
191,05/10/2020,0,-0.494293685,Oct,0
192,04/10/2020,0,-0.494293685,Oct,0
193,03/10/2020,0,-0.494293685,Oct,0
194,02/10/2020,0,-0.494293685,Oct,0
195,01/10/2020,0,-0.494293685,Oct,0
196,19/10/2020,0,-0.494293685,Oct,0
197,18/10/2020,0,-0.494293685,Oct,0
198,17/10/2020,0,-0.494293685,Oct,0
199,16/10/2020,0,-0.494293685,Oct,0
200,28/10/2020,0,-0.494293685,Oct,0
201,27/10/2020,0,-0.494293685,Oct,0
202,26/10/2020,0,-0.494293685,Oct,0
203,25/10/2020,0,-0.494293685,Oct,0
204,24/10/2020,0,-0.494293685,Oct,0
205,23/10/2020,0,-0.494293685,Oct,0
206,22/10/2020,0,-0.494293685,Oct,0
207,21/10/2020,0,-0.494293685,Oct,0
208,08/11/2020,0,-0.494293685,Nov,0
209,07/11/2020,0,-0.494293685,Nov,0
210,06/11/2020,0,-0.494293685,Nov,0
211,05/11/2020,0,-0.494293685,Nov,0
212,04/11/2020,0,-0.494293685,Nov,0
213,03/11/2020,0,-0.494293685,Nov,0
214,02/11/2020,0,-0.494293685,Nov,0
215,01/11/2020,0,-0.494293685,Nov,0
216,18/11/2020,0,-0.494293685,Nov,0
217,17/11/2020,0,-0.494293685,Nov,0
218,16/11/2020,0,-0.494293685,Nov,0
219,15/11/2020,0,-0.494293685,Nov,0
220,14/11/2020,0,-0.494293685,Nov,0
221,13/11/2020,0,-0.494293685,Nov,0
222,12/11/2020,0,-0.494293685,Nov,0
223,11/11/2020,0,-0.494293685,Nov,0
224,28/11/2020,0,-0.494293685,Nov,0
225,27/11/2020,0,-0.494293685,Nov,0
226,26/11/2020,0,-0.494293685,Nov,0
227,25/11/2020,0,-0.494293685,Nov,0
228,24/11/2020,0,-0.494293685,Nov,0
229,23/11/2020,0,-0.494293685,Nov,0
230,22/11/2020,0,-0.494293685,Nov,0
231,21/11/2020,0,-0.494293685,Nov,0
232,08/12/2020,0,-0.494293685,Dec,0
233,07/12/2020,0,-0.494293685,Dec,0
234,06/12/2020,0,-0.494293685,Dec,0
235,05/12/2020,0,-0.494293685,Dec,0
236,04/12/2020,0,-0.494293685,Dec,0
237,03/12/2020,0,-0.494293685,Dec,0
238,02/12/2020,0,-0.494293685,Dec,0
239,01/12/2020,0,-0.494293685,Dec,0
240,18/12/2020,0,-0.494293685,Dec,0
241,17/12/2020,0,-0.494293685,Dec,0
242,16/12/2020,0,-0.494293685,Dec,0
243,15/12/2020,0,-0.494293685,Dec,0
244,14/12/2020,0,-0.494293685,Dec,0
245,13/12/2020,0,-0.494293685,Dec,0
246,12/12/2020,0,-0.494293685,Dec,0
247,11/12/2020,0,-0.494293685,Dec,0
248,28/12/2020,0,-0.494293685,Dec,0
249,27/12/2020,0,-0.494293685,Dec,0
250,26/12/2020,0,-0.494293685,Dec,0
251,25/12/2020,0,-0.494293685,Dec,0
252,24/12/2020,0,-0.494293685,Dec,0
253,23/12/2020,0,-0.494293685,Dec,0
254,22/12/2020,0,-0.494293685,Dec,0
255,21/12/2020,0,-0.494293685,Dec,0
