word,full_month,full_frequency,full_rank,neg_full_rank
COVID,Jul,8,12,-14
BBC News,Jul,8,13,-15
World News Times of India,Jul,8,14,-16
ICU,Jul,7,15,-17
Usual Byline Times,Jul,6,16,-18
Coronavirus,Jul,6,17,-19
MSM,Jul,6,18,-20
Nol,Jul,6,19,-21
EASTBOURNE,Jul,6,20,-22
NBC News,Jul,6,21,-23
BEFORE COVID,Jul,5,22,-24
Corporate Manslaughter,Jul,5,23,-25
IDIOTS,Jul,5,24,-26
Trump,Jul,5,25,-27
FFS,Jul,5,26,-28
ONS,Jul,5,27,-29
Governments,Jul,5,28,-30
Johnsons,Jul,5,29,-31
NI,Jul,4,30,-32
Guardian,Aug,72,1,-3
BorisJohnson,Aug,46,2,-4
PPE,Aug,31,3,-5
NHS,Aug,27,4,-6
Editorial,Aug,26,5,-7
EU,Aug,26,6,-8
Covid19,Aug,25,7,-9
BBC,Aug,16,8,-10
Govt,Aug,15,9,-11
Covid,Aug,13,10,-12
PHE,Aug,13,11,-13
MSM,Aug,12,12,-14
Dominic Cummings,Aug,11,13,-15
BLM,Aug,10,14,-16
Time,Aug,8,15,-17
Parliament,Aug,8,16,-18
Lockdown,Aug,7,17,-19
ICU,Aug,6,18,-20
DominicCummings,Aug,6,19,-21
WHO,Aug,6,20,-22
Social Distancing,Aug,6,21,-23
BBC News,Aug,6,22,-24
Boris Johnsons,Aug,5,23,-25
Trump,Aug,5,24,-26
Daily Telegraph,Aug,5,25,-27
Coronavirus,Aug,5,26,-28
Uturns,Aug,5,27,-29
Johnsons,Aug,5,28,-30
TheTimes Times,Aug,5,29,-31
ForgottenLtd,Aug,4,30,-32
BBC News,Sep,174,1,-3
Covid19,Sep,53,2,-4
BorisJohnson,Sep,45,3,-5
EU,Sep,24,4,-6
NHS,Sep,19,5,-7
COVID,Sep,18,6,-8
Govt,Sep,14,7,-9
Dominic Cummings,Sep,10,8,-10
BBC,Sep,9,9,-11
MSM,Sep,7,10,-12
PCR,Sep,7,11,-13
RoyaumeUni,Sep,7,12,-14
ANNOUNCE TOUGH NEW,Sep,6,13,-15
Coronavirus,Sep,6,14,-16
Time,Sep,6,15,-17
VIRUS,Sep,6,16,-18
Grenfell,Sep,5,17,-19
Cabinet,Sep,5,18,-20
Oxford,Sep,5,19,-21
FINANCIAL TIMES,Sep,5,20,-22
PPE,Sep,5,21,-23
SecondWave,Sep,5,22,-24
ICU,Sep,4,23,-25
httpstconbkWqm4nFy,Sep,4,24,-26
Coronavirus Staff,Sep,4,25,-27
Nicola Sturgeon,Sep,4,26,-28
Parliament,Sep,4,27,-29
Boris Johnsons,Sep,4,28,-30
BBC News Second,Sep,4,29,-31
Starmer,Sep,3,30,-32
BorisJohnson,Oct,41,1,-3
Covid19,Oct,27,2,-4
BorisJohnson ExcludedUK,Oct,23,3,-5
EU,Oct,23,4,-6
NHS,Oct,22,5,-7
RT Oped,Oct,18,6,-8
Guardian,Oct,17,7,-9
BBC News,Oct,16,8,-10
Covid,Oct,11,9,-11
PCR,Oct,10,10,-12
Trace,Oct,10,11,-13
Govt,Oct,9,12,-14
PPE,Oct,8,13,-15
Dominic Cummings,Oct,8,14,-16
ProjectRecovery,Oct,7,15,-17
Lockdown,Oct,7,16,-18
BBC,Oct,7,17,-19
WEF,Oct,6,18,-20
MSM,Oct,6,19,-21
Coronavirus,Oct,6,20,-22
Time,Oct,6,21,-23
WHO,Oct,5,22,-24
NWO,Oct,5,23,-25
ICU,Oct,5,24,-26
Trump,Oct,5,25,-27
the China Virus,Oct,4,26,-28
Editorial,Oct,4,27,-29
Nicola Sturgeon,Oct,4,28,-30
NOW,Oct,4,29,-31
State,Oct,4,30,-32
GNI,Nov,163,1,-3
UKAid,Nov,163,2,-4
BorisJohnson,Nov,33,3,-5
EU,Nov,27,4,-6
PPE,Nov,21,5,-7
NHS,Nov,15,6,-8
Covid19,Nov,12,7,-9
PCR,Nov,12,8,-10
MSM,Nov,10,9,-11
Covid,Nov,9,10,-12
Lockdown,Nov,8,11,-13
SNP,Nov,8,12,-14
BLM,Nov,7,13,-15
Govt,Nov,7,14,-16
BBC,Nov,6,15,-17
Boris Johnson Daily Mail Online,Nov,5,16,-18
Boris Johnson Daily Mail,Nov,5,17,-19
DEATHS,Nov,5,18,-20
the Green Party,Nov,5,19,-21
the House of Commons,Nov,5,20,-22
CovidVaccine,Nov,5,21,-23
DIE,Nov,4,22,-24
Brexit B4 FIGHTS the Virus,Nov,4,23,-25
NOW,Nov,4,24,-26
the Commons Public Accounts Committee,Nov,4,25,-27
Parliament,Nov,4,26,-28
the Conservative Party,Nov,4,27,-29
PACKED,Nov,3,28,-30
RemembranceSunday,Nov,3,29,-31
Trump,Nov,3,30,-32
EU,Dec,42,1,-3
BBC NEWS,Dec,41,2,-4
NHS,Dec,33,3,-5
Covid19,Dec,29,4,-6
BorisJohnson,Dec,29,5,-7
ITV News,Dec,18,6,-8
Govt,Dec,18,7,-9
Rt Hon Matt Hancock,Dec,14,8,-10
Woodford Green,Dec,14,9,-11
PPE,Dec,12,10,-12
Covid,Dec,11,11,-13
PCR,Dec,10,12,-14
the Conservative party,Dec,10,13,-15
CovidVaccine,Dec,8,14,-16
BBC,Dec,8,15,-17
Direct,Dec,7,16,-18
Time,Dec,7,17,-19
the University Hospital Coventry,Dec,6,18,-20
Conservative party,Dec,6,19,-21
Lockdown,Dec,6,20,-22
the Covid Crimes Tribunal,Dec,6,21,-23
GMB,Dec,5,22,-24
MSM,Dec,5,23,-25
ITU,Dec,5,24,-26
Parliament,Dec,4,25,-27
SNP,Dec,4,26,-28
FFS,Dec,4,27,-29
Englands,Dec,4,28,-30
the University Hospital Coventry Tearfulness,Dec,3,29,-31
Un,Dec,3,30,-32
