full_month,full_sentiment,full_views,rank
Jan,285.9879,76801,-1
Feb,1.2917,305,-1
Mar,149.5745,24630,-1
Apr,66.9047,41721,-1
May,109.6844,32945,-1
Jun,142.8019,93809,-1
Jul,86.2421,18233,-1
Aug,-19.0014,54165,-1
Sep,82.2578,8580,-1
Oct,408.1878,116946,-1
Nov,70.2029,19630,-1
Dec,79.9934,17168,-1
